noise_rate,accuracy,roc_auc,random_state
0.0,0.8466144633809305,0.9013977734673242,0
0.0,0.8499923230462153,0.9053955758238584,1
0.0,0.8522954091816367,0.9105169620932296,2
0.0,0.8530631045601106,0.9073609448835146,3
0.0,0.8512206356517734,0.9089835125152186,4
0.05,0.8461538461538461,0.8994937939786632,0
0.05,0.8504529402732995,0.9032092816904316,1
0.05,0.8519883310302472,0.9083345370504118,2
0.05,0.8536772608628896,0.9062993953901075,3
0.05,0.8516812528788577,0.9069491446730359,4
0.1,0.844925533548288,0.8949823053589485,0
0.1,0.8447719944725933,0.899417701863354,1
0.1,0.8490710885920467,0.9048909174387653,2
0.1,0.8515277138031629,0.9023224861228617,3
0.1,0.8478427759864886,0.9059729731123995,4
0.2,0.8360202671579917,0.8869382080435815,0
0.2,0.837095040687855,0.8929164689131467,1
0.2,0.8432366037156457,0.8969835279915809,2
0.2,0.8458467680024566,0.8945604455128866,3
0.2,0.844925533548288,0.8993723045335426,4
